,Dates,h500,slp,h850,q850,qv10m,t2m,t2mdew,tqv,u850,v850,u10m,v10m
0,19800101,0.577733091392,0.41922539049,0.494825702503,0.111738619733,0.22527380781,0.515753689538,0.492036712809,0.0936708946707,0.490780495703,0.460144469907,0.413693737193,0.380260535989
1,19800102,0.520991596283,0.378940800506,0.443301460215,0.171253667543,0.236007485307,0.530952618175,0.505579973627,0.150264832977,0.50859451076,0.393046073219,0.495348177351,0.316463044642
2,19800103,0.508204796565,0.510521561162,0.537387215135,0.191494925179,0.223026111977,0.494698951428,0.493549137483,0.160457874665,0.598118964053,0.392163314977,0.556046624794,0.387307277196
3,19800104,0.579417487697,0.607188244841,0.620825468427,0.173782970998,0.170865422021,0.446355381346,0.423057742299,0.191738950068,0.571690356964,0.469122889519,0.363945398537,0.354081175795
4,19800105,0.487595343047,0.38461626789,0.396943833218,0.334862234996,0.219304212354,0.464846566802,0.482078216764,0.324510846352,0.407145290773,0.410342350666,0.362017650395,0.206047216435
5,19800106,0.468303268955,0.519786302239,0.513585586336,0.057962232294,0.131885009884,0.380837866266,0.356598391258,0.0852089138739,0.517502766832,0.345190856505,0.48690977427,0.343311165737
6,19800107,0.617796152089,0.505554251323,0.55627168994,0.168750354634,0.232919397058,0.467442206056,0.481288948206,0.250094026025,0.810257462244,0.683869946721,0.573546412765,0.700373156547
7,19800108,0.61542338508,0.538874654771,0.583864963484,0.028892771841,0.223261025504,0.500400238453,0.48924529764,0.17754309648,0.816881613666,0.45558274696,0.67113539588,0.466554007322
8,19800109,0.61525443174,0.645993997805,0.682887427011,0.172121173709,0.183914566826,0.455266175457,0.44573268527,0.231208385707,0.673229817196,0.461094453262,0.519973063477,0.411892946326
9,19800110,0.693085413334,0.774460141662,0.809300913247,0.117461186943,0.145879351161,0.383964623648,0.37931332818,0.138424711453,0.71815695727,0.403883292802,0.488525667899,0.418713168085
10,19800111,0.809172339821,0.641720809877,0.794787738576,0.31056454936,0.409371163798,0.618484092618,0.646802727756,0.42749445279,0.754624130274,0.820313601453,0.455039564239,0.74016611709
11,19800112,0.682314637921,0.488111886246,0.559641513164,0.24627810787,0.333170808104,0.623617952961,0.547521394731,0.284674026607,0.915420573711,0.471363380041,0.79643163025,0.488744307147
12,19800113,0.728982860936,0.750942933992,0.796860530448,0.0180142337869,0.158593950532,0.447094218159,0.407093622583,0.132624360472,0.580415349986,0.44154771099,0.425112568433,0.391295830741
13,19800114,0.730140990421,0.556221322813,0.712174411745,0.415894321392,0.477306927547,0.659131094129,0.709676497836,0.479816447518,0.472592613859,0.61318861602,0.314020517273,0.484332063247
14,19800115,0.710153125372,0.492595607719,0.650459967057,0.396251712287,0.461677849886,0.720710397903,0.718450682963,0.398197475368,0.383684416387,0.187890027417,0.523294889814,0.177590557172
15,19800116,0.775591151179,0.604156565321,0.739753438351,0.125830606598,0.253775001253,0.579367116603,0.532585691147,0.197238722056,0.451683604536,0.240027717866,0.476904655422,0.296506623506
16,19800117,0.811534261845,0.61893345098,0.740687591441,0.197973645342,0.300409528517,0.557891874799,0.577006737768,0.263960091459,0.558229477475,0.434370033664,0.372964973694,0.41679892756
17,19800118,0.768292481063,0.557799684501,0.67746771879,0.562167950055,0.343793420525,0.590176932405,0.620600970469,0.583968495851,0.571448658079,0.479305069957,0.45517043712,0.499227796468
18,19800119,0.625505789788,0.507015224747,0.576726681718,0.243558625812,0.282185709324,0.580284118636,0.562344462259,0.248863066716,0.662770347637,0.317115067396,0.637172086661,0.329195772745
19,19800120,0.610662439782,0.555324323277,0.604041720669,0.0965133303636,0.229212698105,0.540391997252,0.50363088024,0.141497822028,0.717779123166,0.29557506636,0.667007604621,0.361098538481
20,19800121,0.47266123771,0.501346137079,0.509758184534,0.102435930875,0.182841155522,0.495695325634,0.443679117838,0.106231839954,0.740616277655,0.348222391181,0.679319933118,0.406058296024
21,19800122,0.534785266586,0.398589299294,0.458585646388,0.256357390862,0.281112581126,0.538587546653,0.546773752527,0.268300726234,0.784364206577,0.561508065208,0.56660021186,0.60052420437
22,19800123,0.419869026919,0.177630135099,0.209002230061,0.241072729374,0.306539819896,0.582936331687,0.575340050683,0.308937044608,0.725635807142,0.461409765389,0.65002175644,0.458891127344
23,19800124,0.177772589952,0.248245555833,0.167550024258,0.0858117317103,0.0906450985252,0.397636904348,0.28585315688,0.0660174323869,0.813029589715,0.401188296955,0.833191973908,0.412522029452
24,19800125,0.370106560471,0.247218408603,0.24107351623,0.26424922354,0.187434502229,0.469319273739,0.442895562701,0.210705918347,0.831797753835,0.498533358784,0.521412341384,0.452995823417
25,19800126,0.49013820497,0.431816557788,0.443223521,0.0864671545234,0.201266830048,0.495577111743,0.461229936709,0.110093912232,0.782553253059,0.359491752908,0.639289898158,0.383983064951
26,19800127,0.568265425698,0.532311119649,0.549201011368,0.078142678635,0.155785332505,0.437195493669,0.404953537639,0.160419348246,0.664473721415,0.397793484196,0.514104498391,0.393421778139
27,19800128,0.544883082574,0.493107267354,0.521669195267,0.175780120746,0.178982885405,0.484238710976,0.443627697043,0.196663516591,0.723966162876,0.417561110565,0.613259031376,0.407446766574
28,19800129,0.551963711564,0.535314728226,0.528953298773,0.127243023917,0.153354597069,0.436023487405,0.399468651683,0.179458063179,0.722519658734,0.42489833439,0.599475547555,0.391561973705
